id,title,year,type,description,areas,knowledge,weak_signals,photo,students,link
proj000,Nomadic Challenge.,2021,Microchallenge 1,"The idea is to create a critical tool for designers to question their practices and reflect on them.
We want to play with the idea of mail art, going back to an analogig time. We feel we are overloading our screen time and it is time to go back to manual creativity and more intimate network. Run away from the digital immediace we have got used to, and enjoy more simple and slow connections.",Art & Music,,Speculative Futures,https://gitlab.com/roger_guilemany/challenge-1-mdef/-/raw/master/images/references/mailart.png,Roger Guilemany|Alejandra Marín,https://gitlab.com/roger_guilemany/challenge-1-mdef
proj001,Processing Handicrafts,2021,Microchallenge 1,"Inspired in Carnival, Culture, Art, STEAM we decided to create an intervention artifact. To create it we will combine laser cutting, computer aided design, and simple circuits. Our purpouse is to engage women and girls in artisan making communities.
This intervention will respond to the cultural crisis cultivated by the pandemic while also conceiving of future carnaval festivities.
The artifact will be a speculative exploration of a Carnival on a spaceship in a billion seconds: the year 2053.
",Co-creation | Community Design | Decolonial Design,,Decolonial Design | Future of Making | Post-digital Craft | Slow Tech,https://gitlab.com/jean-luc_pierite/processing-handicrafts/-/raw/master/images/IMG_2303.jpg,Jean-Luc Pierite|Veronica,https://gitlab.com/jean-luc_pierite/processing-handicrafts
proj002,Silent Board Game,2021,Microchallenge 1,"A version of the board, pieces and instructions, that would enable two people to play the game, developing a space of implicit communication through the silent alternative creation of patterns, sculptures or images. The original version of the game asks to have pieces of different shape, size and colour. For this reason we are using transparent acrylic, plywood, and the acrylic negative is used as a ""generator"" for casting biomaterial pieces of different colours. This ""generator"" is a part of the board, so in case any piece is lost, it can easily be replaced.
",Body & Health,,Body as Interface,https://gitlab.com/morgane_shaban/silent-board-game/-/raw/master/images/rhinomodel.jpg,Morgane Shaban|Inés Burdiles,https://gitlab.com/morgane_shaban/silent-board-game
proj003,Sheet Masks,2021,Microchallenge 1,"Work around cosmetics to continue our intervention. We already engaged with Bothaina in the last intervention we did on the beach with people and ask them if they were open to the idea to reused materials from home and make their own scrubs, soaps, masks, makeup. We had a good feedback from them that they might be interesting. This is why on this challenge we focus our project on the face and more especially sheet masks with the reference of the 3D printing machine. The goal is to make them try the mold we have been designing to cooked our own gel facial mask and to know what’s inside of it! During the quarantaine or even during this stressing period a lot of people turned into more confort at home or self-care. (4)",,,,https://gitlab.com/anais_bouvet/challenge_1_mdef_sheet_masks/-/raw/master/Images/prototype_with_drawing.jpg,Bothaina Alamri|Anaïs Bouvet,https://gitlab.com/anais_bouvet/challenge_1_mdef_sheet_masks
proj004,Sun Thing,2021,Microchallenge 1,We see this prototype as a way to explore alternative presents through cooking; both in space and in experience. It can also be an imagined tool for refugee tech and future realities within the confines of the climate crisis. And perhaps another space of reality for this project is educating children on imagining future kitchens and cooking experiences.,Food Systems,,Energy Transition,https://gitlab.com/jasmine_boerner/fab-lab-challenge-1/-/raw/master/11.png,Sergio Morales|Jasmine Böner,https://gitlab.com/jasmine_boerner/fab-lab-challenge-1
proj005,Clothes Repair,2021,Microchallenge 1,clothes repair,,,,https://pietro_rustici.gitlab.io/mdef-upcycling/images/care.png,David Wyss|Pietro Rustici,https://pietro_rustici.gitlab.io/mdef-upcycling/
proj006,Micgration,2021,Microchallenge 1,"An artifact to explore the intersection of humanism in design Create a tool that would help stimulate thought and dialogue, people’s perceived agency relating to different political issue",Social Justice,,Decolonial Design,https://gitlab.com/jose_uribe/micro_challenge1/-/raw/master/images/3.png,Jose Antonio Uribe|Krzysztof Wroński,https://gitlab.com/jose_uribe/micro_challenge1
proj007,Anti Walkman,2021,Microchallenge 1,"The “anti-Walkman” bracelet is an acrylic lightweight bracelet with a compass that indicates the direction you want to go. Without the excess of information that google maps would give you, the ‘anti-Walkman’ is precise and will not generate extra distractions, it will simply indicate where you have to turn so that you can connect with your surroundings, whether you are walking, hiking or riding a bike.",Sensing & Electronics,,Community Resilience | Slow Tech,https://gitlab.com/clement_rames/anti-walkman/-/raw/master/images/10pic.jpg,Clément Rames|José Francisco Molina,https://gitlab.com/clement_rames/anti-walkman/-/blob/master/README.md
proj008,Food Water Food,2021,Microchallenge 1,A fun and interactive card game about the water footprint of common foodstuffs.,Food Systems | Water Systems,,Food Sovereignty | Water Justice,https://gitlab.com/guilherme_simoes/micro-challenge-i-mdef-food-water-food/-/raw/master/Pictures/game1.jpeg,Mark Villanueva|Guilherme Simoes,https://gitlab.com/guilherme_simoes/micro-challenge-i-mdef-food-water-food/-/tree/master
proj009,Biomaterial Toolbox,2021,Microchallenge 2,"Biomaterial Toolbox, is a hybrid of carpentry toolbox, and laboratory, cooking and artistic equipment. All you need to guide a biomaterial workshop with youth, or anyone new to the topic. An artifact for dissemination of material literacy.",Biomaterials,,Post-digital Craft,https://gitlab.com/ines_burdiles/biomaterial-toolbox/-/raw/master/images/IMG_2944.jpg,Morgane Shaban|Inés Burdiles,https://gitlab.com/ines_burdiles/biomaterial-toolbox
